genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [2], [2], [2], [0], [1], [0, 0], [1, 1]]",2.2133056016239085,7,(((x[1]-x[1]**Constant)**Constant)**Constant),(((x[1]-x[1]**0.9972888086536363)**0.4810731437567677)**0.5617457885102083),2.4224961559144886,{'errortest': 2.9214374375087755},"[1, 1, 1, 1, 1, 1, 2, 2]"
"[[0], [2], [0], [1, 2], [2, 1, 1], [1, 2, 2, 2], [1, 1, 0, 0, 1], [0, 1]]",2.378743348785904,7,((Constant-(Constant*x[0]))*((x[1]*Constant)**Constant)**Constant),((0.9959830761141558-(0.06676275053898773*x[0]))*((x[1]*0.8527149490086127)**0.838044001678882)**0.24692227162167302),2.529062993560044,{'errortest': 2.798507544297196},"[1, 1, 1, 2, 3, 4, 5, 2]"
"[[0], [2], [0], [1, 2], [2, 0, 0], [0, 0, 0, 0], [0, 1, 1, 1, 0], [0, 0]]",2.82486280559831,7,((x[0]+Constant+Constant)+(Constant+x[0]**Constant)**Constant),((x[0]+0.24374829385968577+0.4056759424728086)+(0.4014363921274532+x[0]**0.5816527398393604)**0.038099312363357396),3.0130532619899513,{'errortest': 3.6007604343628308},"[1, 1, 1, 2, 3, 4, 5, 2]"
"[[0], [2], [1], [2, 1], [0, 0, 2], [2, 2, 3, 0], [1, 1, 1, 1, 0], [1]]",2.9308252388972944,7,(((Constant*Constant**Constant)*(Constant/Constant+x[1]))**Constant),(((0.538300923204122*0.5439679499855578**0.7058716603696692)*(0.10038319803128892/0.9944936529938251+x[1]))**0.0977410532758648),3.1252425027992525,{'errortest': 3.681701189723756},"[1, 1, 1, 2, 3, 4, 5, 1]"
"[[0], [2], [1], [2, 0], [2, 1, 2], [2, 3, 0], [1, 1, 1, 1], []]",3.1047971931294014,6,(((Constant**Constant)*(Constant/Constant)+Constant)**Constant),(((0.8746933719848775**0.8182209084698889)*(0.35313912405894643/0.03887686638732324)+0.8853319747880605)**0.27319528231232193),3.299035409756107,{'errortest': 3.8527043729136734},"[1, 1, 1, 2, 3, 3, 4, 0]"
"[[0], [0], [1, 3], [3, 1], [1, 2], [0, 0, 1, 2], [0, 1, 1, 1, 1], [0]]",3.448732302220654,6,(x[0]+((Constant+Constant)-Constant))*Constant,(x[0]+((0.8694067554877029+0.7119985014414971)-0.5240817819331832))*0.7715791358140899,3.6213364048734404,{'errortest': 4.204921552319132},"[1, 1, 2, 2, 2, 4, 5, 1]"
"[[0], [2], [1], [3, 2], [1], [0, 3], [0, 1, 1], [0]]",3.5043432809437536,6,((x[0]+((Constant/Constant)**Constant))**Constant),((x[0]+((0.5435735935700968/0.22265995832361019)**0.732261114106155))**0.2679055836589357),3.6880172377112475,{'errortest': 4.238404919563541},"[1, 1, 1, 2, 1, 2, 3, 1]"
"[[0], [0], [0, 0], [0, 2, 0, 3], [2, 1, 1, 0, 2], [1, 1, 1, 3, 1, 0, 3, 3], [1, 1, 0, 1, 0, 0, 1, 1, 1], [1, 0, 1]]",3.5354463214505674,7,Constant-(Constant-x[1])-((Constant/x[0])**Constant)-x[1]+Constant/Constant/Constant,0.5361448431711555-(0.39296161285995146-x[1])-((0.07827723015914445/x[0])**0.2868323455508972)-x[1]+0.20546207940718253/0.7678530022729184/0.16172519046782863,3.718287105315055,{'errortest': 4.272515370666158},"[1, 1, 2, 4, 5, 8, 9, 3]"
"[[0], [2], [3], [], [], [], [1], []]",3.753106938186131,4,(Constant**Constant),(0.5633299673320084**0.016768757117516353),3.9347011781701866,{'errortest': 4.471184430244643},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [3], [], [], [], [1], []]",3.796079806054244,4,(Constant**Constant),(0.8316712987303705**0.34575813022165003),3.9769091928326397,{'errortest': 4.512187251516882},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [3], [], [], [], [1], []]",3.8276148180570577,4,(Constant**Constant),(0.859449862686822**0.6944875708724911),4.007889278051443,{'errortest': 4.542283494759022},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [1], [2, 3], [2], [1], [1, 1], [0, 1, 1], [1]]",3.886588283664,7,((((x[1]-Constant)**Constant)**Constant)-Constant),((((x[1]-0.9188116742387792)**0.1332939467369485)**0.17646825309069236)-0.39217839186100767),4.065049976866234,{'errortest': 4.597965039193416},"[1, 1, 2, 1, 1, 2, 3, 1]"
"[[0], [3], [], [], [], [], [1], []]",3.928710958828243,3,Constant,0.7789335458354418,4.107242555451545,{'errortest': 4.638811082797756},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [0], [0]]",3.9468711490220127,4,x[0],x[0],4.1026754965193994,{'errortest': 4.689134166608983},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",3.9468711490220127,4,x[0],x[0],4.1026754965193994,{'errortest': 4.689134166608983},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",3.9468711490220127,4,x[0],x[0],4.1026754965193994,{'errortest': 4.689134166608983},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",3.9468711490220127,4,x[0],x[0],4.1026754965193994,{'errortest': 4.689134166608983},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [1], []]",3.9677634903303765,3,Constant,0.7324655348024048,4.145636504846571,{'errortest': 4.67611823640868},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [0], [2, 3], [0], [2, 0], [0, 2, 1], [0, 1, 0, 1], [0, 0]]",4.057683319184437,7,(x[0]+Constant*x[0]**Constant)-Constant,(x[0]+0.8649212682133082*x[0]**0.9837586128906016)-0.7699895090296832,4.193776805487137,{'errortest': 4.820849602382956},"[1, 1, 2, 1, 2, 3, 4, 2]"
"[[0], [3], [], [], [], [], [1], []]",4.074039982331695,3,Constant,0.6069348799397482,4.250161626258893,{'errortest': 4.777704528734446},"[1, 1, 0, 0, 0, 0, 1, 0]"
